"","Case.Number","Incident.City","Incident.State","Incident.Zip","Vehicle.Type","Vehicle.Color","Child.Race","Child.Gender","Child.Approximate.Age"
"1",1260468,"Bridgeport","CT",6610,"Van","Burgundy","Unknown","Female","15"
"2",1260612,"Kansas City","MO",64124,"Truck","White","Unknown","Female","Unknown"
"3",1260632,"Marysville","OH",43040,"Truck","Black","Unknown","Female","7"
"4",1260641,"Dayton","TX",77535,"Sport Utility","White","Unknown","Female","9"
"5",1260904,"Kansas City","MO",64152,"Sedan, 4 door","Red","Unknown","Male","10"
"6",1260962,"Magnolia","TX",77354,"Truck","White","Unknown","Male","Unknown"
"7",1261325,"Roswell","NM",88203,"Pickup Truck","White","Unknown","Female","12"
"8",1261337,"Dallas","TX",75203,"Sedan, 4 door","Black","Unknown","Female","17"
"9",1261491,"Venus","TX",76084,"Pickup Truck","Dark","Unknown","Male","11"
"10",1261500,"Oroville","CA",95966,"Sport Utility","Gold","Unknown","Female","Unknown"
"11",1261645,"Chicago","IL",60652,"Pickup Truck","Black","Unknown","Male","11"
"12",1261870,"Lockport","NY",14094,"Van","Black","Unknown","Male","Unknown"
"13",1261938,"Fulshear","TX",77441,"Sedan, 4 door","Silver","Unknown","Male","12"
"14",1261941,"Brooklyn","NY",11226,"Van","Gray","Unknown","Female","11"
"15",1261968,"Cleveland","OH",44135,"Sedan, 4 door","White","Unknown","Male","10"
"16",1262294,"Lake St. Louis","MO",63367,"Pickup Truck","Gray","Unknown","Female","15"
"17",1262295,"Lake St. Louis","MO",63367,"Pickup Truck","Gray","Unknown","Female","15"
"18",1262348,"Brazil","IN",47834,"Sedan, 4 door","Blue","Unknown","Female","11"
"19",1262695,"Chicago","IL",60646,"Sedan, 4 door","Black","Unknown","Male","Unknown"
"20",1262696,"Chicago","IL",60634,"Sport Utility","White","Unknown","Female","Unknown"
"21",1262706,"Essex","VT",5452,"Van","Red","Unknown","Female","11"
"22",1262796,"Marysville","OH",43040,"Truck","Beige","Unknown","Female","7"
"23",1262865,"Spokane","WA",99202,"Truck","Black","Unknown","Unknown","Unknown"
"24",1263213,"El Monte","CA",91733,"Sedan, 4 door","Silver","Unknown","Female","10"
"25",1263298,"Luther","OK",73054,"Van","White","Unknown","Unknown","Unknown"
"26",1263317,"Delaware","OH",43015,"Truck","Gray","Unknown","Female","9"
"27",1263462,"Hilliard","OH",43026,"Van","Gray","Unknown","Female","8"
"28",1263463,"San Ysidro","CA",92173,"Pickup Truck","Black","Unknown","Male","8"
"29",1263471,"Chula Vista","CA",91911,"Van","White","Unknown","Male","8"
"30",1263490,"Van Alstyne","TX",75495,"Van","White","Unknown","Female","8"
"31",1263906,"Pompano Beach","FL",33060,"Sport Utility","Tan","Unknown","Female","13"
"32",1264459,"Stockton","CA",95219,"Station Wagon","Black","Unknown","Female","Unknown"
"33",1264474,"Montclair","NJ",7042,"Van","Beige","Unknown","Female","12"
"34",1264475,"Enola","PA",17025,"Sedan, 4 door","Red","Unknown","Female","14"
"35",1264559,"Berkeley","CA",94703,"Van","Green","Unknown","Female","Unknown"
"36",1264573,"Sacramento","CA",95819,"Sedan, 4 door","Dark","Unknown","Female","13"
"37",1264574,"Chicago","IL",60639,"Sedan, 2 door","Blue","Unknown","Female","Unknown"
"38",1264722,"Redford Charter Township","MI",48239,"Van","White","Unknown","Male","11"
"39",1265058,"Essex","VT",5452,"Truck","Blue, Dark","Unknown","Male","13"
"40",1265179,"Anna","TX",75409,"Van","Green","Unknown","Female","10"
"41",1265256,"Pittsfield","MA",1201,"Van","Black","Unknown","Female","Unknown"
"42",1265323,"Washington","PA",15301,"Van","White","Unknown","Male","12"
"43",1265324,"Washington","PA",15301,"Van","White","Unknown","Unknown","Unknown"
"44",1265408,"Hampton","SC",29924,"Van","Blue","Black","Female","11"
"45",1265432,"Bainbridge Island","WA",98110,"Pickup Truck","White","Unknown","Unknown","Unknown"
"46",1265434,"Bainbridge Island","WA",98110,"Sedan, 4 door","Gray","Unknown","Unknown","Unknown"
"47",1265662,"Heath","OH",43056,"Truck","Black","Unknown","Female","Unknown"
"48",1265663,"Corpus Christi","TX",78405,"Sedan, 4 door","Black","Unknown","Female","13"
"49",1265759,"Berkeley","CA",94707,"Sedan, 4 door","Blue","Unknown","Male","Unknown"
"50",1266023,"Ossining","NY",10562,"Van","White","Unknown","Female","Unknown"
"51",1266029,"Newnan","GA",30265,"Truck","white","Unknown","Male","13"
"52",1266049,"Lake Butler","FL",32054,"Van","Dark","Unknown","Unknown","Unknown"
"53",1266276,"Cold Spring Harbor","NY",11724,"Sedan, 4 door","Tan","Unknown","Female","Unknown"
"54",1266308,"Lebanon","TN",37087,"Sedan, 4 door","Gray","Unknown","Female","Unknown"
"55",1266309,"Omaha","NE",68138,"Van","White","Unknown","Female","Unknown"
"56",1266311,"Chicago","IL",60624,"Sedan, 4 door","Blue, Dark","Unknown","Male","Unknown"
"57",1266318,"Wichita Falls","TX",76306,"Truck","Red","Unknown","Female","13"
"58",1266471,"Carlsbad","CA",92009,"Van","White","Unknown","Male","11"
"59",1266725,"Lakeway","TX",78738,"Truck","White","Unknown","Female","Unknown"
"60",1266807,"Arlington","VA",22207,"Pickup Truck","Blue","Unknown","Unknown","8"
"61",1266821,"Immokalee","FL",34142,"Pickup Truck","White","Unknown","Female","14"
"62",1266822,"Muskegon","MI",49445,"Van","Silver","Unknown","Female","16"
"63",1266928,"Hartford","IA",50118,"Sport Utility","White","Unknown","Female","11"
"64",1267185,"Belmont","CA",94002,"Pickup Truck","Brown","Unknown","Female","12"
"65",1267195,"Wichita","KS",67230,"Van","Black","Unknown","Male","10"
"66",1267793,"Chicago","IL",60645,"Sport Utility","Black","Unknown","Unknown","Unknown"
"67",1267918,"Victoria","TX",77901,"Pickup Truck","Gray","Unknown","Unknown","Unknown"
"68",1267989,"Deerfield Township","MI",48461,"Pickup Truck","Red","Unknown","Female","10"
"69",1268087,"Oceanside","CA",92057,"Pickup Truck","Black","Unknown","Female","8"
"70",1268104,"Bentonville","AR",72712,"Sedan, 4 door","White","Unknown","Unknown","Unknown"
"71",1268106,"Margate","FL",33068,"Sport Utility","Gray","Unknown","Female","10"
"72",1268109,"Bentonville","AR",72712,"Sedan, 4 door","White","Unknown","Unknown","Unknown"
"73",1268125,"Parrottsville","TN",37843,"Van","Blue, Dark","Unknown","Unknown","5"
"74",1268906,"Fort Walton Beach","FL",32547,"Van","Green","Unknown","Female","9"
"75",1268914,"Greenwood","IN",46143,"Pickup Truck","White","Unknown","Male","4"
"76",1268991,"Oroville","CA",95965,"Sedan, 4 door","Blue","Unknown","Female","14"
"77",1268992,"Oroville","CA",95965,"Sedan, 4 door","Blue","Unknown","Unknown","Unknown"
"78",1269251,"El Monte","CA",91732,"Sedan, 4 door","Beige","Unknown","Female","Unknown"
"79",1269254,"El Monte","CA",91731,"Sedan, 4 door","Beige","Unknown","Female","Unknown"
"80",1269266,"San Diego","CA",92173,"Sedan, 4 door","Red","Unknown","Female","15"
"81",1269869,"Arlington","VA",22204,"Pickup Truck","Dark","Unknown","Male","Unknown"
"82",1269870,"Arlington","VA",22203,"Pickup Truck","Blue, Dark","Unknown","Female","Unknown"
"83",1269895,"Sunbury","PA",17801,"Van","Blue","Unknown","Male","Unknown"
"84",1269986,"Indiana","PA",15701,"Sedan, 4 door","Black","Unknown","Female","11"
"85",1270414,"Clarksville","TN",37042,"Van","Red","Unknown","Male","10"
"86",1270469,"Wind Gap","PA",18091,"Van","Brown","Unknown","Female","Unknown"
"87",1270475,"Bronx","NY",10451,"Sport Utility","Black","Unknown","Male","6"
"88",1270485,"Brunswick","ME",4011,"Pickup Truck","Black","Unknown","Female","11"
"89",1270755,"Muskogee","OK",74403,"Truck","Black","Unknown","Unknown","Unknown"
"90",1270938,"Redmond","WA",98052,"Truck","Gray","Unknown","Female","11"
"91",1270940,"Richmond","VA",23220,"Van","White","Unknown","Male","12"
"92",1270942,"Fort Madison","IA",52627,"Sedan, 4 door","White","Unknown","Female","Unknown"
"93",1270960,"Oak Grove","MO",64075,"Sedan, 4 door","White","Unknown","Male","Unknown"
"94",1270969,"Hampton","IL",61256,"Van","Blue, Light","Unknown","Unknown","Unknown"
"95",1270971,"Buffalo","NY",14220,"Van","White","Unknown","Male","12"
"96",1271275,"Vidor","TX",77662,"Pickup Truck","Gray","Unknown","Female","Unknown"
"97",1271377,"Chicago","IL",60624,"Sedan, 4 door","Red","Unknown","Female","12"
"98",1271829,"Bryan","TX",77803,"Pickup Truck","White","Unknown","Female","10"
"99",1272213,"Levittown","PA",19057,"Pickup Truck","Red","White","Male","4"
"100",1272221,"Maplewood","NJ",7040,"Van","Red","Unknown","Male","12"
"101",1272235,"Petoskey","MI",49770,"Sport Utility","Red","Unknown","Female","Unknown"
"102",1272237,"Petoskey","MI",49770,"Van","Gray","Unknown","Male","Unknown"
"103",1272247,"Petoskey","MI",49770,"Van","White","Unknown","Male","Unknown"
"104",1272323,"Rockingham","NH",3833,"Pickup Truck","Red","Unknown","Male","10"
"105",1272675,"Chicago","IL",60624,"Van","Silver","Unknown","Female","12"
"106",1272761,"Peekskill","NY",10566,"Van","White","Unknown","Male","13"
"107",1272848,"Alexandria","VA",22303,"Sedan, 4 door","Gray","Unknown","Female","17"
"108",1273009,"Albany","OR",97322,"Van","White","Unknown","Male","15"
"109",1273304,"Ammon","ID",83406,"Van","Tan","Unknown","Female","Unknown"
"110",1273395,"Feasterville-Trevose","PA",19053,"Sedan, 2 door","Blue","Unknown","Unknown","Unkown"
"111",1273422,"Winnetka","IL",60093,"Sport Utility","Black","Unknown","Female","11"
"112",1273497,"St. Johnsbury","VT",5819,"Van","Green","Unknown","Female","14"
"113",1273759,"Webster","NY",14580,"Sport Utility","White","Unknown","Male","12"
"114",1273761,"Webster","NY",14580,"Sport Utility","White","Unknown","Unknown","14"
"115",1273818,"Cedar Falls","IA",50613,"Sedan, 4 door","Silver","Unknown","Unknown","Unknown"
"116",1273907,"Griffith","IN",46319,"Pickup Truck","Red","Unknown","Female","7"
"117",1273940,"Warren","OH",44485,"Pickup Truck","Gray","Unknown","Female","16"
"118",1274000,"Seguin","TX",78155,"Pickup Truck","White","Unknown","Female","Unknown"
"119",1274123,"St. Louis","MO",63111,"Van","Gold","Unknown","Female","11"
"120",1274131,"Fairbury","NE",68352,"Pickup Truck","White","Unknown","Female","4"
"121",1274197,"Shell Rock","IA",50670,"Van","White","Unknown","Male","8"
"122",1274314,"Harrisburg","PA",17109,"Pickup Truck","Red","Unknown","Male","14"
"123",1274397,"Glendale","CA",91205,"Sedan, 4 door","Silver","Unknown","Male","3"
"124",1274619,"Tamaqua","PA",18252,"Sport Utility","Dark","White","Female","13"
"125",1274821,"Omaha","NE",68137,"Truck","Black","Unknown","Unknown","Unknown"
"126",1274822,"Omaha","NE",68137,"Truck","Black","Unknown","Unknown","Unknown"
"127",1275093,"Augusta","GA",30907,"Sedan, 4 door","Gray","Unknown","Female","10"
"128",1275158,"Bridgewater","MA",2324,"Van","Black","Unknown","Female","11"
"129",1275626,"Floyd","VA",24091,"Van","White","Unknown","Male","Unknown"
"130",1275707,"Seattle","WA",98108,"Sport Utility","Black","Unknown","Unknown","Unknown"
"131",1275728,"Harrisburg","PA",17109,"Van","White","Unknown","Female","15"
"132",1275828,"Naples","FL",34116,"Sedan, 4 door","Black","Unknown","Male","10"
"133",1276027,"Florence","KY",41042,"Pickup Truck","Red","White","Female","7"
"134",1276142,"Omaha","NE",68137,"Pickup Truck","Black","White","Unknown","Unknown"
"135",1276151,"Poughkeepsie","NY",12601,"Van","White","Unknown","Unknown","Unknown"
"136",1276170,"Chicago","IL",60649,"Pickup Truck","Blue","Unknown","Female","5"
"137",1276240,"Forney","TX",75160,"Pickup Truck","Black","Unknown","Female","Unknown"
"138",1276320,"Spencer","WI",54479,"Van","Blue","Unknown","Female","9"
"139",1276324,"Arlington","VA",22203,"Van","White","Unknown","Female","11"
"140",1276344,"Ormond Beach","FL",32174,"Sedan, 4 door","Silver","Unknown","Unknown","Unknown"
"141",1276353,"Miami","FL",33150,"Sedan, 4 door","Dark","Unknown","Female","12"
"142",1276356,"Redwood Falls","MN",56283,"Pickup Truck","Dark","Unknown","Female","Unknown"
"143",1276500,"Loudoun","VA",20165,"Sport Utility","Black","Unknown","Female","Unknown"
"144",1276518,"Omaha","NE",68010,"Pickup Truck","Black","Unknown","Female","Unknown"
"145",1276527,"Omaha","NE",68010,"Pickup Truck","Black","Unknown","Female","Unknown"
"146",1276534,"Omaha","NE",68010,"Pickup Truck","Black","Unknown","Female","Unknown"
"147",1276538,"Baltic","CT",6330,"Van","White","Unknown","Female","10"
"148",1276596,"Wauregan","CT",6374,"Van","White","Unknown","Female","Unknown"
"149",1276621,"Round Rock","TX",78681,"Truck","Silver","Unknown","Male","Unknown"
"150",1276696,"Altoona","PA",16601,"Sport Utility","Blue","Unknown","Female","12"
"151",1276702,"Hellertown","PA",18055,"Pickup Truck","Gray","Unknown","Female","Unknown"
"152",1276703,"Hellertown","PA",18055,"Pickup Truck","Gray","Unknown","Female","Unknown"
"153",1276819,"Chicago","IL",60630,"Van","White","Unknown","Female","13"
"154",1276886,"Bethel","CT",6801,"Sedan, 4 door","Black","Unknown","Unknown","12"
"155",1277003,"Hadley","MA",1035,"Van","Gold","Unknown","Female","11"
"156",1277009,"Mt. Lebanon","PA",15228,"Sport Utility","White","Unknown","Female","8"
"157",1277023,"Burnsville","MN",55337,"Sport Utility","Silver","Unknown","Male","11"
"158",1277095,"Ormond Beach","FL",32174,"Truck","Blue, Light","Unknown","Male","Unknown"
"159",1277108,"Diamond","IL",60416,"Van","Gray","Unknown","Unknown","Unknown"
"160",1277286,"Temple","TX",76502,"Pickup Truck","Red","Unknown","Male","9"
"161",1277312,"La Grange Park","IL",60526,"Sport Utility","Dark","Unknown","Female","15"
"162",1277315,"La Grange","IL",60525,"Sport Utility","Blue","Unknown","Female","10"
"163",1277355,"Daytona Beach","FL",32114,"Sedan, 4 door","Red","Black","Female","Unknown"
"164",1277487,"Roselle","NJ",7203,"Sport Utility","Silver","Hispanic","Female","16"
"165",1277537,"Rogers Park","IL",60645,"Sedan, 4 door","Blue, Light","Unknown","Unknown","7"
"166",1277712,"Massillon","OH",44646,"Pickup Truck","Blue, Light","Unknown","Female","9"
"167",1277769,"Corpus Christi","TX",78416,"Van","White","Unknown","Male","Unknown"
"168",1277852,"Burlington","NC",27215,"Truck","Silver","Unknown","Male","11"
"169",1278100,"Arlington","TX",76018,"Pickup Truck","White","White","Female","10"
"170",1278104,"Sunland Park","NM",88063,"Truck","Black","Unknown","Unknown","Unknown"
"171",1278141,"Chicago","IL",60539,"Van","Green","Unknown","Female","4"
"172",1278191,"Arvada","CO",80003,"Sport Utility","Silver","Unknown","Female","14"
"173",1278214,"Somonauk","IL",60552,"Sport Utility","Silver","Unknown","Female","Unknown"
"174",1278836,"Council Bluffs","IA",51501,"Sedan, 4 door","White","Unknown","Female","11"
"175",1278951,"Buffalo","NY",14223,"Van","Blue","Unknown","Unknown","11"
"176",1278955,"La Grange Park","IL",60526,"Sport Utility","Blue","Unknown","Female","10"
"177",1279225,"Lubbock","TX",79424,"Pickup Truck","Blue","Unknown","Female","8"
"178",1279229,"Chicago","IL",60630,"Sedan, 4 door","White","Unknown","Female","15"
"179",1279233,"Chicago","IL",60641,"Van","Purple","Unknown","Male","10"
"180",1279406,"McKeesport","PA",15133,"Sedan, 4 door","Red","Unknown","Female","14"
"181",1279552,"Kissimmee","FL",34741,"Sedan, 2 door","Black","Unknown","Male","11"
"182",1279926,"San Carlos","CA",94070,"Sedan, 4 door","Silver","Unknown","Male","14"
"183",1279946,"Chicago","IL",60608,"Van","White","Unknown","Male","10"
"184",1280085,"Virginia Beach","VA",23454,"Pickup Truck","White","Unknown","Male","Unknown"
"185",1280409,"Seward","NE",68434,"Pickup Truck","Red","Unknown","Male","10"
"186",1280508,"Pacifica","CA",94044,"Sedan, 4 door","Black","Unknown","Female","Unknown"
"187",1280715,"Sutherland","VA",23885,"Sport Utility","Gray","Unknown","Male","Unknown"
"188",1280728,"York","NE",68467,"Pickup Truck","Red","Unknown","Unknown","Unknown"
"189",1281008,"Okeechobee","FL",34972,"Sedan, 4 door","White","Unknown","Male","Unknown"
"190",1281317,"Fernandina Beach","FL",32034,"Sedan, 4 door","Gray","Unknown","Male","Unknown"
"191",1281738,"Monterey","CA",93940,"Coupe","White","Unknown","Unknown","6"
"192",1281742,"Bensenville","IL",60106,"Van","White","Unknown","Male","9"
"193",1281744,"Charlotte","NC",28203,"Van","Blue","Unknown","Unknown","Unknown"
"194",1281769,"Corpus Christi","TX",78415,"Sedan, 2 door","Gray","Unknown","Female","Unknown"
"195",1281849,"Kahului","HI",96732,"Sport Utility","Gold","Unknown","Unknown","Unknown"
"196",1281947,"Pleasanton","CA",94566,"Van","Dark","Unknown","Male","11"
"197",1282145,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Female","Unknown"
"198",1282148,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Female","2"
"199",1282232,"Chicago","IL",60645,"Sport Utility","Red","Unknown","Male","7"
"200",1282235,"Chicago","IL",60631,"Sport Utility","Gold","Unknown","Female","16"
"201",1282239,"Chicago","IL",60638,"Sedan, 4 door","White","Unknown","Female","9"
"202",1282246,"York","NE",68467,"Pickup Truck","Red","Unknown","Female","Unknown"
"203",1282664,"Newnan","GA",30263,"Sedan, 4 door","Black","Black","Female","1"
"204",1282689,"Leicester","MA",1524,"Sedan, 4 door","Burgundy","Unknown","Male","Unknown"
"205",1282789,"Ocala","FL",34471,"Sedan, 4 door","Silver","Unknown","Female","13"
"206",1283170,"Williamsport","PA",17701,"Pickup Truck","White","Unknown","Female","16"
"207",1283548,"Southfield","MI",48075,"Pickup Truck","Black","Unknown","Male","12"
"208",1283614,"Kalamazoo","MI",49008,"Pickup Truck","Red","Unknown","Female","12"
"209",1284016,"Harrisburg","NC",28075,"Sedan, 4 door","White","Unknown","Unknown","Unknown"
"210",1284183,"Jacksonville","FL",32226,"Truck","Silver","Unknown","Female","12"
"211",1284201,"Rye","NY",10580,"Sedan, 4 door","White","Unknown","Female","13"
"212",1284341,"Westmont","IL",60559,"Sedan, 4 door","Beige","Unknown","Female","13"
"213",1284495,"Arlington","VA",22202,"Van","White","Unknown","Female","10"
"214",1284583,"Hamburg (Tilden Twp)","PA",19526,"Sport Utility","Black","Unknown","Male","16"
"215",1284684,"Ferguson","MO",63136,"Sport Utility","Gold","Black","Female","14"
"216",1284937,"Miami","FL",33144,"Sport Utility","White","Unknown","Female","Unknown"
"217",1284943,"Miami","FL",33147,"Sport Utility","White","Unknown","Female","Unknown"
"218",1284964,"Colorado Springs","CO",80903,"Pickup Truck","Dark","Unknown","Unknown","10"
"219",1284974,"Pittston","PA",18640,"Sedan, 4 door","Black","Unknown","Female","15"
"220",1284981,"Conestoga","PA",17516,"Pickup Truck","Red","Unknown","Female","Unknown"
"221",1285117,"Winter Springs","FL",32771,"Pickup Truck","White","Unknown","Male","9"
"222",1260632,"Marysville","OH",43040,"Truck","Black","Unknown","Male","10"
"223",1260962,"Magnolia","TX",77354,"Truck","White","Unknown","Unknown","Unknown"
"224",1261645,"Chicago","IL",60652,"Pickup Truck","Black","Unknown","Male","8"
"225",1262696,"Chicago","IL",60634,"Sport Utility","White","Unknown","Female","Unknown"
"226",1263463,"San Ysidro","CA",92173,"Pickup Truck","Black","Unknown","Male","10"
"227",1265408,"Hampton","SC",29924,"Van","Blue","Black","Female","13"
"228",1265432,"Bainbridge Island","WA",98110,"Pickup Truck","White","Unknown","Unknown","Unknown"
"229",1265662,"Heath","OH",43056,"Truck","Black","Unknown","Female","Unknown"
"230",1265759,"Berkeley","CA",94707,"Sedan, 4 door","Blue","Unknown","Male","Unknown"
"231",1266807,"Arlington","VA",22207,"Pickup Truck","Blue","Unknown","Unknown","11"
"232",1267793,"Chicago","IL",60645,"Sport Utility","Black","Unknown","Unknown","Unknown"
"233",1268125,"Parrottsville","TN",37843,"Van","Blue, Dark","Unknown","Unknown","8"
"234",1268914,"Greenwood","IN",46143,"Pickup Truck","White","Unknown","Female","9"
"235",1268992,"Oroville","CA",95965,"Sedan, 4 door","Blue","Unknown","Unknown","Unknown"
"236",1269869,"Arlington","VA",22204,"Pickup Truck","Dark","Unknown","Female","Unknown"
"237",1269870,"Arlington","VA",22203,"Pickup Truck","Blue, Dark","Unknown","Female","Unknown"
"238",1271275,"Vidor","TX",77662,"Pickup Truck","Gray","Unknown","Female","Unknown"
"239",1271377,"Chicago","IL",60624,"Sedan, 4 door","Red","Unknown","Male","5"
"240",1271829,"Bryan","TX",77803,"Pickup Truck","White","Unknown","Unknown","Unknown"
"241",1272213,"Levittown","PA",19057,"Pickup Truck","Red","White","Male","1"
"242",1272237,"Petoskey","MI",49770,"Van","Gray","Unknown","Male","Unknown"
"243",1273818,"Cedar Falls","IA",50613,"Sedan, 4 door","Silver","Unknown","Unknown","Unknown"
"244",1274397,"Glendale","CA",91205,"Sedan, 4 door","Silver","Unknown","Male","8"
"245",1275158,"Bridgewater","MA",2324,"Van","Black","Unknown","Female","11"
"246",1276151,"Poughkeepsie","NY",12601,"Van","White","Unknown","Unknown","Unknown"
"247",1276344,"Ormond Beach","FL",32174,"Sedan, 4 door","Silver","Unknown","Unknown","2"
"248",1276702,"Hellertown","PA",18055,"Pickup Truck","Gray","Unknown","Female","Unknown"
"249",1277537,"Rogers Park","IL",60645,"Sedan, 4 door","Blue, Light","Unknown","Unknown","10"
"250",1277769,"Corpus Christi","TX",78416,"Van","White","Unknown","Male","Unknown"
"251",1278104,"Sunland Park","NM",88063,"Truck","Black","Unknown","Unknown","Unknown"
"252",1279233,"Chicago","IL",60641,"Van","Purple","Unknown","Unknown","Unknown"
"253",1281738,"Monterey","CA",93940,"Coupe","White","Unknown","Unknown","8"
"254",1281849,"Kahului","HI",96732,"Sport Utility","Gold","Unknown","Unknown","Unknown"
"255",1282145,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Female","Unknown"
"256",1282664,"Newnan","GA",30263,"Sedan, 4 door","Black","Black","Male","3"
"257",1282689,"Leicester","MA",1524,"Sedan, 4 door","Burgundy","Unknown","Male","Unknown"
"258",1283170,"Williamsport","PA",17701,"Pickup Truck","White","Unknown","Female","16"
"259",1284201,"Rye","NY",10580,"Sedan, 4 door","White","Unknown","Female","13"
"260",1284964,"Colorado Springs","CO",80903,"Pickup Truck","Dark","Unknown","Unknown","10"
"261",1285117,"Winter Springs","FL",32771,"Pickup Truck","White","Unknown","Unknown","Unknown"
"262",1261645,"Chicago","IL",60652,"Pickup Truck","Black","Unknown","Female","8"
"263",1265662,"Heath","OH",43056,"Truck","Black","Unknown","Male","Unknown"
"264",1266807,"Arlington","VA",22207,"Pickup Truck","Blue","Unknown","Unknown","Unknown"
"265",1268992,"Oroville","CA",95965,"Sedan, 4 door","Blue","Unknown","Unknown","Unknown"
"266",1271377,"Chicago","IL",60624,"Sedan, 4 door","Red","Unknown","Male","5"
"267",1271829,"Bryan","TX",77803,"Pickup Truck","White","Unknown","Unknown","Unknown"
"268",1273818,"Cedar Falls","IA",50613,"Sedan, 4 door","Silver","Unknown","Unknown","Unknown"
"269",1275158,"Bridgewater","MA",2324,"Van","Black","Unknown","Female","11"
"270",1276702,"Hellertown","PA",18055,"Pickup Truck","Gray","Unknown","Female","Unknown"
"271",1277769,"Corpus Christi","TX",78416,"Van","White","Unknown","Male","Unknown"
"272",1279233,"Chicago","IL",60641,"Van","Purple","Unknown","Unknown","Unknown"
"273",1282145,"Spring City","UT",84662,"Sport Utility","Red","Unknown","Female","Unknown"
"274",1285117,"Winter Springs","FL",32771,"Pickup Truck","White","Unknown","Unknown","Unknown"
